weight,size,cat,dog
10.78,56.55,1.0,1.0
1.59,14.9,0.0,0.0
0.91,16.56,0.0,0.0
5.07,41.53,1.0,0.0
0.79,19.84,0.0,0.0
3.29,33.74,1.0,0.0
5.81,29.66,1.0,0.0
5.02,33.96,1.0,0.0
13.44,63.02,0.0,1.0
17.74,74.51,0.0,1.0
4.45,28.1,1.0,0.0
1.07,10.19,0.0,0.0
3.96,38.07,1.0,0.0
2.89,15.35,0.0,0.0
4.03,38.74,1.0,0.0
2.03,9.95,0.0,0.0
12.88,57.01,0.0,1.0
10.35,56.14,1.0,1.0
13.22,52.67,1.0,1.0
9.72,45.29,1.0,1.0
13.01,73.43,0.0,1.0
9.36,60.21,1.0,1.0
19.77,54.19,0.0,1.0
10.07,49.27,1.0,1.0
14.76,75.63,0.0,1.0
16.52,73.94,0.0,1.0
2.49,14.92,0.0,0.0
1.86,12.33,0.0,0.0
2.44,17.38,0.0,0.0
16.88,79.5,0.0,1.0
4.89,39.78,1.0,0.0
5.05,29.38,1.0,0.0
8.99,44.61,1.0,1.0
13.32,47.38,1.0,1.0
17.82,61.85,0.0,1.0
10.18,51.44,1.0,1.0
15.05,61.38,0.0,1.0
1.37,15.23,0.0,0.0
2.29,20.09,0.0,0.0
4.78,29.99,1.0,0.0
8.32,42.13,1.0,1.0
11.76,73.87,0.0,1.0
4.4,39.59,1.0,0.0
2.1,16.4,0.0,0.0
1.99,13.12,0.0,0.0
7.0,54.91,1.0,1.0
4.35,34.94,1.0,0.0
3.84,31.04,1.0,0.0
5.08,45.0,1.0,0.0
2.54,11.04,0.0,0.0
11.57,45.77,1.0,1.0
19.38,68.02,0.0,1.0
11.11,64.34,0.0,1.0
15.27,67.29,0.0,1.0
5.18,36.22,1.0,0.0
12.86,63.29,0.0,1.0
2.49,19.8,0.0,0.0
9.46,50.06,1.0,1.0
13.72,68.94,0.0,1.0
2.94,13.16,0.0,0.0
4.42,42.4,1.0,0.0
3.16,29.88,1.0,0.0
13.98,53.12,0.0,1.0
11.5,42.98,1.0,1.0
15.18,62.13,0.0,1.0
16.43,72.78,0.0,1.0
5.08,42.76,1.0,0.0
1.46,14.61,0.0,0.0
2.04,18.57,0.0,0.0
8.36,41.92,1.0,1.0
1.22,14.37,0.0,0.0
17.57,64.97,0.0,1.0
1.89,12.09,0.0,0.0
11.05,57.37,1.0,1.0
2.57,15.7,0.0,0.0
5.11,30.69,1.0,0.0
8.06,43.61,1.0,1.0
2.54,19.19,0.0,0.0
11.72,58.34,1.0,1.0
8.53,48.51,1.0,1.0
3.44,34.72,1.0,0.0
2.16,10.49,0.0,0.0
12.05,50.13,1.0,1.0
14.54,49.88,0.0,1.0
12.09,54.89,1.0,1.0
11.98,53.35,1.0,1.0
4.73,37.74,1.0,0.0
15.43,61.43,0.0,1.0
11.16,49.85,1.0,1.0
2.06,19.18,0.0,0.0
8.85,57.25,1.0,1.0
11.5,57.19,0.0,1.0
4.34,27.82,1.0,0.0
14.18,66.57,0.0,1.0
19.24,68.58,0.0,1.0
3.82,38.56,1.0,0.0
10.93,59.18,0.0,1.0
1.88,19.12,0.0,0.0
5.1,34.84,1.0,0.0
10.86,79.77,0.0,1.0
2.18,10.25,0.0,0.0
13.64,77.62,0.0,1.0
11.8,48.67,0.0,1.0
15.83,68.06,0.0,1.0
2.93,16.65,0.0,0.0
15.99,75.05,0.0,1.0
13.44,53.34,1.0,1.0
3.41,30.8,1.0,0.0
7.53,62.99,1.0,1.0
1.28,14.36,0.0,0.0
4.34,33.93,1.0,0.0
19.71,53.97,0.0,1.0
4.73,33.39,1.0,0.0
9.8,69.56,0.0,1.0
15.85,54.24,0.0,1.0
4.28,34.44,1.0,0.0
15.29,59.59,0.0,1.0
3.86,37.49,1.0,0.0
10.23,57.18,1.0,1.0
5.53,42.21,1.0,0.0
10.19,51.85,1.0,1.0
5.58,37.98,1.0,0.0
5.82,34.91,1.0,0.0
10.83,70.66,0.0,1.0
1.85,14.6,0.0,0.0
16.78,60.98,0.0,1.0
4.26,39.29,1.0,0.0
